Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
MYO,Myomo Inc. Common Stock,$7.85,-0.06,-0.759%,43991581.00,United States,2017,97638,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.4106,-0.0025,-0.605%,210596821.00,Canada,,3490583,Basic Industries,Precious Metals
NAVB,Navidea Biopharmaceuticals Inc. Common Stock,$1.72,0.02,1.176%,51863924.00,United States,,32524,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NBA,New Beginnings Acquisition Corp. Common Stock,$10.07,0.04,0.399%,150244400.00,,2020,35346,Technology,Radio And Television Broadcasting And Communications Equipment
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$16.04,0.07,0.438%,301929790.00,United States,2002,34551,Finance,Finance/Investors Services
NBO,Neuberger Berman New York Municipal Fund Inc. Common Stock,$13.42,0.01,0.075%,68138936.00,United States,2002,5644,Finance,Finance/Investors Services
NBW,Neuberger Berman California Municipal Fund Inc Common Stock,$14.65,0.07,0.48%,81322795.00,United States,2002,6868,Finance,Finance/Investors Services
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$0.61,-0.01,-1.613%,25584976.00,United States,2007,914971,Health Care,Major Pharmaceuticals
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$62.4505,0.00,0.00%,228112692.00,United States,,4,Consumer Services,Building operators
NES,Nuverra Environmental Solutions Inc. Common Stock,$2.30,0.00,0.00%,36800184.00,United States,2017,5219,Public Utilities,Water Supply
NEWP,New Pacific Metals Corp. Common Shares,$3.74,-0.25,-6.266%,577657074.00,,2021,142442,Capital Goods,Medical Specialities
NG,Novagold Resources Inc.,$7.30,-0.17,-2.276%,2421054592.00,Canada,,541580,Basic Industries,Precious Metals
NGD,New Gold Inc.,$1.43,-0.13,-8.333%,973401000.00,Canada,,9398802,Basic Industries,Precious Metals
NHC,National HealthCare Corporation Common Stock,$76.71,0.26,0.34%,1180807769.00,United States,,19018,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$12.86,0.07,0.547%,188484326.00,United States,,27088,Finance,Trusts Except Educational Religious and Charitable
NML,Neuberger Berman MLP and Energy Income Fund Inc. Common Stock,$4.78,0.06,1.271%,270829676.00,,2013,208798,Finance,Finance/Investors Services
NNVC,NanoViricides Inc. Common Stock,$3.90,-0.01,-0.256%,44869500.00,United States,,213229,Health Care,Major Pharmaceuticals
NOG,Northern Oil and Gas Inc. Common Stock,$16.59,-0.60,-3.49%,1097795089.00,United States,,524145,Energy,Oil & Gas Production
NRO,Neuberger Berman Real Estate Securities Income Fund Inc. Neuberger Berman Real Estate Securities Income Fund Inc.,$5.09,-0.02,-0.391%,241369841.00,United States,2003,91869,Finance,Finance/Investors Services
NTIP,Network-1 Technologies Inc. Common Stock,$2.9901,-0.0399,-1.317%,72026662.00,United States,,88316,Miscellaneous,Multi-Sector Companies
NXE,Nexgen Energy Ltd. Common Shares,$3.95,-0.08,-1.985%,1859201480.00,,,527730,Basic Industries,Precious Metals
OGEN,Oragenics Inc. Common Stock,$0.70,-0.01,-1.408%,80946786.00,United States,,1905555,Health Care,Major Pharmaceuticals
OPTT,Ocean Power Technologies Inc. Common Stock,$2.01,0.09,4.688%,105440602.00,United States,2007,1203318,Public Utilities,Electric Utilities: Central
ORLA,Orla Mining Ltd. Common Shares,$3.48,-0.24,-6.452%,858767562.00,,2020,551752,Basic Industries,Precious Metals
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,$28.41,-0.79,-2.705%,,United States,,1330,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,$26.20,-0.29,-1.095%,,United States,,3446,,
PCG^C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,$24.69,0.00,0.00%,,United States,,2,,
PCG^D,Pacific Gas & Electric Co. 5% 1st  Red. Preferred Stock,$23.24,-1.035,-4.264%,,United States,,10022,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,$24.7601,0.0101,0.041%,,United States,,2781,,
PCG^G,Pacific Gas & Electric Co. 4.80% 1st Preferred Stock,$23.95,-0.01,-0.042%,,United States,,2840,,
PCG^H,Pacific Gas & Electric Co. 4.50% 1st Preferred Stock,$21.10,-0.69,-3.167%,,United States,,2838,,
PCG^I,Pacific Gas & Electric Co. 4.36% 1st Preferred Stock,$21.49,-1.525,-6.626%,,United States,,11200,,
PED,Pedevco Corp. Common Stock,$1.11,0.01,0.909%,88202379.00,United States,,28353,Energy,Oil & Gas Production
PHGE,BiomX Inc. COmmon Stock,$4.12,-0.04,-0.962%,100711653.00,,2019,36380,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
